rm:::::::::::::
ARCHIBUS Data Transfer:::::::::::::
:::::::::::::
AllowInsertions:AllowUpdates:AllowSQLStatements:Restriction:Sort:::::::::
1:1:1:((rm.bl_id='TO_CEN03' ) AND( rm.fl_id='XPTE'  OR  rm.fl_id='XP01')):rm.bl_id:::::::::
:::::::::::::
:::::::::::::
bl_id:fl_id:rm_id:lat:lon:name:area:altezza_locale:length:rm_cat:rm_type:rm_std:dv_id:dp_id
Fabbricato:Piano:Codice Locale:Latitudine:Longitudine:Nome locale:Area Locale:Altezza netta locale (in cm):Perimetro:Categoria  locale:Tipo di locale:Standard  locale:Tipo Struttura:Struttura
TO_CEN03:XPTE:B002:45,0632970000000000:7,6614070000000000:Aula DIFIS 2:49,89::30,8:AULA:AULA:L60:DIP.:DISAT
TO_CEN03:XPTE:B003::::22,32::19,5:SERV:MAGAZ::DIP.:DISAT
TO_CEN03:XPTE:B004:45,0632470000000000:7,6615500000000000:Aula PERUCCA:72,84::36,2:AULA:AULA:L80:DIP.:DISAT
TO_CEN03:XPTE:B005::::18,93::20,8:VERT:SCALA::DIP.:DISAT
TO_CEN03:XPTE:B006:0,0000000000000000:0,0000000000000000::16,41::16,4:UFF:UFF_TEC_AM::DIP.:DISAT
TO_CEN03:XPTE:B007:45,0632969000000000:7,6612860000000100::68,00::57,1:SERV:CORRID::DIP.:DISAT
TO_CEN03:XPTE:B008:45,0633650000000000:7,6617000000000100:Laib DIFIS 4 - Laboratorio di Fisica (DISAT):49,74::34,8:LAB:LAB_DIDAT:L40:DIP.:DISAT
TO_CEN03:XPTE:B009::::14,71::15,4:UFF:UFF_TEC_AM::DIP.:DISAT
TO_CEN03:XPTE:B010::::19,27::20,0:VERT:SCALA::DIP.:DISAT
TO_CEN03:XPTE:B011:45,0633860000000000:7,6616230000000100:Laib DIFIS 3 - Laboratorio di Fisica (DISAT):74,28::38,7:LAB:LAB_DIDAT:L60:DIP.:DISAT
TO_CEN03:XPTE:B012::::16,20::17,3:SERV:ATRIO::DIP.:DISAT
TO_CEN03:XPTE:B014:45,0634960000000000:7,6616900000000100:Laib DIFIS 2 - Laboratorio di Fisica (DISAT):74,14::39,2:LAB:LAB_DIDAT:L40:DIP.:DISAT
TO_CEN03:XPTE:B015::::12,04::14,2:SERV:ATRIO::DIP.:DISAT
TO_CEN03:XPTE:B016::::52,51::45,6:SERV:CORRID::DIP.:DISAT
TO_CEN03:XPTE:B017::::7,20::11,5:SERV:WC::DIP.:DISAT
TO_CEN03:XPTE:B018::::22,88::23,0:UFF:UFF_TEC_AM::DIP.:DISAT
TO_CEN03:XPTE:B019::::4,80::8,9:SERV:WC::DIP.:DISAT
TO_CEN03:XPTE:B020::::24,07::23,4:UFF:UFF_TEC_AM::DIP.:DISAT
TO_CEN03:XPTE:B021:45,0635520000000000:7,6615190000000100:Laib DIFIS 1 - Laboratorio di Fisica (DISAT):76,39::38,0:LAB:LAB_DIDAT:L40:DIP.:DISAT
TO_CEN03:XPTE:B022:45,0634590000000000:7,6614140000000100::10,50::13,5:SERV:ATRIO::DIP.:DISAT
TO_CEN03:XPTE:B023::::5,60::10,0:SERV:ATRIO::DIP.:DISAT
TO_CEN03:XPTE:B024::::114,40::60,8:EST:RAMPA EST::ATU.:AMM
TO_CEN03:XPTE:B025::::19,66::32,9:EST:RAMPA EST::DIP.:DISAT
TO_CEN03:XPTE:B105::::2,45::6,4:VERT:CAVEDIO::ATU.:AMM
TO_CEN03:XPTE:B146::::6,00::10,3:VERT:ASCENSORE::ATU.:AMM
TO_CEN03:XPTE:C000::::77,10::70,7:SERV:CORRID::ATU.:ATENEO
TO_CEN03:XPTE:C001:45,0623820000000000:7,6610020000000000:Aula 21A:67,47:320:33,2:AULA:AULA:L60:ATU.:ATENEO
TO_CEN03:XPTE:C002::::26,53:300:20,6:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XPTE:C003:45,0623260000000000:7,6611490000000000:Aula 19A:84,96:320:38,1:AULA:AULA:L80:ATU.:ATENEO
TO_CEN03:XPTE:C004:45,0622860000000000:7,6609990000000000:Aula 13A:64,71:320:33,5:AULA:AULA:L60:ATU.:ATENEO
TO_CEN03:XPTE:C005::::8,04::11,5:SERV:MAGAZ::ATU.:AMM
TO_CEN03:XPTE:C006::::19,35::17,9:STUD:S_STUD::ATU.:ATENEO
TO_CEN03:XPTE:C007:45,0622700000000000:7,6613050000000000:Aula 17A:102,32:320:42,9:AULA:AULA:L100:ATU.:ATENEO
TO_CEN03:XPTE:C008:45,0622110000000000:7,6612500000000000:Aula 15A:110,34:320:44,1:AULA:AULA:L120:ATU.:ATENEO
TO_CEN03:XPTE:C009::::27,83:320:26,0:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XPTE:C010::::3,58:294:7,7:SERV:ATRIO::ATU.:AMM
TO_CEN03:XPTE:D000::::265,91:470:114,3:SERV:CORRID::ATU.:ATENEO
TO_CEN03:XPTE:D001:45,0623890000000000:7,6615130000000000:Aula 1:318,11:635:77,4:AULA:AULA:L200_PLUS:ATU.:ATENEO
TO_CEN03:XPTE:D002::::8,41::11,7:SERV:CAB_CONTR::ATU.:AMM
TO_CEN03:XPTE:D003:45,0624560000000000:7,6613320000000000:Aula 3:316,69:635:77,4:AULA:AULA:L200_PLUS:ATU.:ATENEO
TO_CEN03:XPTE:D004::::8,42::11,7:SERV:CAB_CONTR::ATU.:AMM
TO_CEN03:XPTE:D005:45,0625260000000000:7,6611450000000000:Aula 5:319,10:635:77,5:AULA:AULA:L200_PLUS:ATU.:ATENEO
TO_CEN03:XPTE:D006::::8,41::11,7:SERV:CAB_CONTR::ATU.:AMM
TO_CEN03:XPTE:D007::::193,49::82,1:EST:SCALA_EST::ATU.:ATENEO
TO_CEN03:XPTE:D008::::7,20::14,4:EST:SCALA_EST::ATU.:ATENEO
TO_CEN03:XPTE:D009::::16,07::29,2:EST:SCALA_EST::ATU.:ATENEO
TO_CEN03:XPTE:E000::::225,07::96,5:SERV:CORRID::ATU.:ATENEO
TO_CEN03:XPTE:E002:45,0629050000000000:7,6618850000000000:Aula 2:295,92:520:70,4:AULA:AULA:L200_PLUS:ATU.:ATENEO
TO_CEN03:XPTE:E004:45,0629650000000000:7,6617190000000000:Aula 4:285,26::67,9:AULA:AULA:L200_PLUS:ATU.:ATENEO
TO_CEN03:XPTE:E006:45,0630940000000000:7,6614430000000000:Aula 6:254,89:445:68,5:AULA:AULA:L200_PLUS:ATU.:ATENEO
TO_CEN03:XPTE:E007::::12,82::14,7:SERV:WC_H::ATU.:ATENEO
TO_CEN03:XPTE:E008::::15,45::26,0:EST:SCALA_EST::ATU.:ATENEO
TO_CEN03:XPTE:E009::::193,92::82,1:EST:SCALA_EST::ATU.:ATENEO
TO_CEN03:XPTE:E010::::7,30::14,4:EST:RAMPA EST::ATU.:ATENEO
TO_CEN03:XPTE:E011::::16,22::29,2:EST:RAMPA EST::ATU.:ATENEO
TO_CEN03:XPTE:F000::::37,93::26,6:VERT:SCALA::ATU.:ATENEO
TO_CEN03:XPTE:F001::::26,47::25,3:SERV:CORRID::ATU.:AMM
TO_CEN03:XPTE:F002::::55,73::42,4:SERV:CEN_CLIMA::ARE.:EDILOG
TO_CEN03:XPTE:F003:45,0632040000000000:7,6618080000000000:Aula 12A:265,82::67,5:AULA:AULA:L200_PLUS:ATU.:ATENEO
TO_CEN03:XPTE:F004:45,0631470000000000:7,6619950000000000:Aula 10A:270,01::68,6:AULA:AULA:L200_PLUS:ATU.:ATENEO
TO_CEN03:XPTE:F005::::32,78::25,2:SERV:ARCHIVIO::ARE.:BIBLIOM
TO_CEN03:XPTE:F006::::1,64::5,1:SERV:MAGAZ::ATU.:AMM
TO_CEN03:XPTE:F011::::17,06::23,8:EST:SCALA_EST::ATU.:AMM
TO_CEN03:XPTE:F012::::66,56::53,9:EST:CORTILE::ATU.:ATENEO
TO_CEN03:XPTE:F013::::28,92::22,1:SERV:ARCHIVIO::ARE.:BIBLIOM
TO_CEN03:XPTE:F014::::14,88::20,8:EST:SCALA_EST::ATU.:ATENEO
TO_CEN03:XPTE:G000::::108,28::76,7:SERV:CORRID::ATU.:ATENEO
TO_CEN03:XPTE:G002::::19,12::21,1:VERT:SCALA::ATU.:ATENEO
TO_CEN03:XPTE:G003::::160,03::80,9:SERV:CORRID::ATU.:ATENEO
TO_CEN03:XPTE:G004::::10,25::14,0:SERV:MAGAZ::EES.:AMBRO
TO_CEN03:XPTE:G005::::4,28::9,7:SERV:ANTI_WC::ATU.:ATENEO
TO_CEN03:XPTE:G006::::4,81::8,9:VERT:CAVEDIO::ATU.:ATENEO
TO_CEN03:XPTE:G007::::6,55::11,6:SERV:ANTI_WC::EES.:AMBRO
TO_CEN03:XPTE:G008::::5,55::17,1:SERV:MAGAZ::ATU.:AMM
TO_CEN03:XPTE:G009::::6,13::10,3:SERV:WC::EES.:AMBRO
TO_CEN03:XPTE:G010::::6,79::10,7:SERV:MAGAZ::EES.:AMBRO
TO_CEN03:XPTE:G011::::11,21::13,4:SERV:MAGAZ::EES.:AMBRO
TO_CEN03:XPTE:G012::::28,79::22,6:SPEC:BAR::EES.:AMBRO
TO_CEN03:XPTE:G013:45,0621390000000000:7,6615130000000000:Bar Ambrogio:117,65::48,6:SPEC:BAR::EES.:AMBRO
TO_CEN03:XPTE:G014::::4,57::8,7:VERT:MONTAC::EES.:CIRCOOP
TO_CEN03:XPTE:G015::::1,30::5,1:SERV:LOC_TECN::EES.:CIRCOOP
TO_CEN03:XPTE:G016::::1,78::5,6:SERV:LOC_TECN::EES.:CIRCOOP
TO_CEN03:XPTE:G017::::9,03::13,1:VERT:SCALA::EES.:CIRCOOP
TO_CEN03:XPTE:G018::::5,10::13,1:VERT:SCALA::EES.:CIRCOOP
TO_CEN03:XPTE:G019::::16,12::25,7:SERV:CORRID::EES.:CIRCOOP
TO_CEN03:XPTE:G020::::5,32::10,6:EST:SCALA_EST::EES.:CIRCOOP
TO_CEN03:XPTE:G021::::13,98::22,2:VERT:SCALA::EES.:CIRCOOP
TO_CEN03:XPTE:G022::::14,48::16,6:SERV:WC::ATU.:ATENEO
TO_CEN03:XPTE:G023::::6,98::11,1:SERV:WC::EES.:AMBRO
TO_CEN03:XPTE:G024::::6,71::10,9:SERV:WC::EES.:AMBRO
TO_CEN03:XPTE:G025::::6,22::12,1:SERV:ANTI_WC::EES.:AMBRO
TO_CEN03:XPTE:G026::::1,62::5,1:VERT:CAVEDIO::ATU.:ATENEO
TO_CEN03:XPTE:H000::::243,52::84,3:EST:PORTICATO::ATU.:ATENEO
TO_CEN03:XPTE:H001:0,0000000000000000:0,0000000000000000::14,00::19,3:SERV:ATRIO::ATU.:AMM
TO_CEN03:XPTE:H002::::70,48::39,8:UFF:UFF_PUBB::ATU.:ATENEO
TO_CEN03:XPTE:H005::::58,88::37,3:SERV:ATRIO::ATU.:ATENEO
TO_CEN03:XPTE:H102::::0,86::3,7:VERT:ASCENSORE::ATU.:AMM
TO_CEN03:XPTE:H103::::0,86::3,7:VERT:ASCENSORE::ATU.:AMM
TO_CEN03:XPTE:H104::::2,57::6,4:VERT:MONTAC::ATU.:AMM
TO_CEN03:XPTE:I000::::37,57::30,9:SERV:CORRID::ATU.:ATENEO
TO_CEN03:XPTE:I001::::124,22::58,9:SERV:ATRIO::ATU.:ATENEO
TO_CEN03:XPTE:I002::::50,69::31,0:VERT:SCALA::ATU.:ATENEO
TO_CEN03:XPTE:I003::::29,33::25,5:SERV:WC::ATU.:ATENEO
TO_CEN03:XPTE:I004::::8,35::11,6:SERV:ANTI_WC::ATU.:ATENEO
TO_CEN03:XPTE:I005:45,0629730000000000:7,6621220000000200:Cooperativa Libraria CLUT - Duca:29,91::23,5:SPEC:LIBRERIA::EES.:CLUT
TO_CEN03:XPTE:I006:45,0630870000000000:7,6621890000000200:CTS Centro Turistico Studentesco e Giovanile:19,78::18,4:SPEC:AG_TURIS::EES.:CTS
TO_CEN03:XPTE:I007:45,0631076999994000:7,6622070000000300:Cooperativa Libraria CELID - Duca:30,03::23,6:SPEC:LIBRERIA::EES.:CELID
TO_CEN03:XPTE:I008::::45,30:379:34,4:VERT:SCALA::ATU.:ATENEO
TO_CEN03:XPTE:I009::::3,81:378:8,8:SERV:ATRIO::ARE.:BIBLIOM
TO_CEN03:XPTE:I010::::1,60::5,8:SERV:LOC_TECN::ATU.:AMM
TO_CEN03:XPTE:I011::::13,28::15,1:SERV:CEN_TERM::ATU.:AMM
TO_CEN03:XPTE:I012::::17,95::17,2:SERV:WC::ATU.:ATENEO
TO_CEN03:XPTE:I013::::2,81::8,0:SERV:MAGAZ::ATU.:AMM
TO_CEN03:XPTE:I014::::4,16::8,2:VERT:CAVEDIO::ATU.:AMM
TO_CEN03:XPTE:I015::::69,82::58,0:SERV:CORRID::ATU.:ATENEO
TO_CEN03:XPTE:I016::::6,14::11,1:SPEC:AG_TURIS::EES.:CTS
TO_CEN03:XPTE:I017::::38,95::32,2:SERV:CORRID::ATU.:ATENEO
TO_CEN03:XPTE:I018::::9,07::17,5:EST:SCALA_EST::ATU.:ATENEO
TO_CEN03:XPTE:I119::::5,58::10,6:VERT:ASCENSORE::ATU.:AMM
TO_CEN03:XPTE:L000::::75,84::51,1:SERV:CORRID::ATU.:ATENEO
TO_CEN03:XPTE:L001::::65,70::58,6:SPEC:POSTA::EES.:POSTA27
TO_CEN03:XPTE:L002::::13,82::14,9:SPEC:POSTA::EES.:POSTA27
TO_CEN03:XPTE:L003::::4,72::8,8:SPEC:POSTA::EES.:POSTA27
TO_CEN03:XPTE:L004::::4,62::8,8:SPEC:POSTA::EES.:POSTA27
TO_CEN03:XPTE:L005::::14,92::15,5:SPEC:POSTA::EES.:POSTA27
TO_CEN03:XPTE:L006:45,0620650000000000:7,6611910000000000:Ufficio Postale 27:45,30::33,2:SPEC:POSTA::EES.:POSTA27
TO_CEN03:XPTE:L007::::46,00:293:63,5:SERV:CORRID::ARE.:EDILOG
TO_CEN03:XPTE:L008::::12,20::19,5:VERT:SCALA::ATU.:ATENEO
TO_CEN03:XPTE:L009::::4,51::8,5:SPEC:BANCA::EES.:POSTA27
TO_CEN03:XPTE:L010::::5,44::9,4:SPEC:BANCA::EES.:POSTA27
TO_CEN03:XPTE:L011::::13,82::15,1:SPEC:BANCA::EES.:UNICRED
TO_CEN03:XPTE:L012:45,0620290000000000:7,6613290000000000:Unicredit Banca S.p.A.:121,31::53,4:SPEC:BANCA::EES.:UNICRED
TO_CEN03:XPTE:L013::::5,69::10,3:SPEC:BANCA::EES.:UNICRED
TO_CEN03:XPTE:L014::::13,14::19,4:SPEC:MENSA::EES.:CIRCOOP
TO_CEN03:XPTE:L015::::13,39::16,3:SERV:LOC_TECN::ATU.:AMM
TO_CEN03:XPTE:L016::::5,44::10,4:SERV:LOC_TECN::ATU.:AMM
TO_CEN03:XPTE:L017:0,0000000000000000:0,0000000000000000::22,66:365:19,5:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XPTE:L018:0,0000000000000000:0,0000000000000000::15,97:365:17,3:SUPP:S_RIUN:L20:ARE.:EDILOG
TO_CEN03:XPTE:L019::::5,60::9,6:SERV:ANTI_WC::ARE.:EDILOG
TO_CEN03:XPTE:L020:0,0000000000000000:0,0000000000000000::16,29:368:16,7:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XPTE:L021:0,0000000000000000:0,0000000000000000::22,04:454:19,4:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XPTE:L022:0,0000000000000000:0,0000000000000000::14,34:368:15,4:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XPTE:L023:0,0000000000000000:0,0000000000000000::23,36:453:19,7:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XPTE:L024:0,0000000000000000:0,0000000000000000::16,53:368:17,0:SUPP:S_RIUN:L20:ARE.:EDILOG
TO_CEN03:XPTE:L025:0,0000000000000000:0,0000000000000000::24,45:454:20,3:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XPTE:L026:0,0000000000000000:0,0000000000000000::42,74:368:32,1:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XPTE:L027:0,0000000000000000:0,0000000000000000::21,74:454:20,8:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XPTE:L028:0,0000000000000000:0,0000000000000000::21,17:465:20,0:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XPTE:L029:0,0000000000000000:0,0000000000000000::13,46:454:14,7:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XPTE:L030::::13,39::25,2:EST:SCALA_EST::ATU.:AMM
TO_CEN03:XPTE:L031::::2,80:300:7,1:SERV:ANTI_WC_M::ARE.:EDILOG
TO_CEN03:XPTE:L032::::2,56:300:6,9:SERV:WC_M::ARE.:EDILOG
TO_CEN03:XPTE:L033::::1,73:300:5,7:SERV:WC_M::ARE.:EDILOG
TO_CEN03:XPTE:L034::::3,23:300:7,9:SERV:ANTI_WC_F::ARE.:EDILOG
TO_CEN03:XPTE:L035::::2,28:300:6,4:SERV:WC_F::ARE.:EDILOG
TO_CEN03:XPTE:L036::::2,25:300:6,0:SERV:WC::ARE.:EDILOG
TO_CEN03:XPTE:L037:0,0000000000000000:0,0000000000000000::14,42:368:15,6:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XPTE:L039:0,0000000000000000:0,0000000000000000::13,92:365:15,0:SUPP:LOC_MULT::ARE.:EDILOG
TO_CEN03:XPTE:L040:0,0000000000000000:0,0000000000000000::31,88:365:26,2:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XPTE:L041:0,0000000000000000:0,0000000000000000::21,09:365:19,3:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XPTE:L042::::7,28:293:14,6:SERV:CORRID::ARE.:EDILOG
TO_CEN03:XPTE:L043::::48,50::67,7:EST:RAMPA EST::ATU.:ATENEO
TO_CEN03:XPTE:L044::::2,70::6,6:EST:SCALA_EST::ATU.:ATENEO
TO_CEN03:XPTE:L045::::19,01::19,2:EST:SCALA_EST::ATU.:ATENEO
TO_CEN03:XPTE:L046::::2,78::7,0:VERT:::EES.:UNICRED
TO_CEN03:XPTE:L120::::7,75::11,6:VERT:ASCENSORE::ATU.:AMM
TO_CEN03:XPTE:M001:45,0626260000000000:7,6618910000000000:FOREIGN CITIZENS SERVICES:27,68::23,0:UFF:UFF_PUBB::ARE.:INTE
TO_CEN03:XPTE:M002::::84,73::72,3:SERV:CORRID::ARE.:INTE
TO_CEN03:XPTE:M003::::57,20::39,5:UFF:UFF_TEC_AM::ARE.:INTE
TO_CEN03:XPTE:M004::::11,03::13,9:UFF:UFF_PUBB::ARE.:INTE
TO_CEN03:XPTE:M005:45,0626260000000000:7,6618910000000000:UFFICIO MOBILITA' OUTGOING:54,07::30,7:UFF:UFF_PUBB::ARE.:INTE
TO_CEN03:XPTE:M006::::22,01::19,6:VERT:SCALA::ATU.:AMM
TO_CEN03:XPTE:M007:0,0000000000000000:0,0000000000000000::26,44::21,1:UFF:UFF_TEC_AM::ARE.:INTE
TO_CEN03:XPTE:M008::::17,95::23,5:VERT:SCALA::ATU.:AMM
TO_CEN03:XPTE:M009:0,0000000000000000:0,0000000000000000:Box 9:10,97::13,7:STUD:BIBLIO::ARE.:INTE
TO_CEN03:XPTE:M010:0,0000000000000000:0,0000000000000000:Box 10:11,21::14,0:UFF:UFF_PUBB::ARE.:INTE
TO_CEN03:XPTE:M014:45,0626260000000000:7,6618910000000000:INCOMING MOBILITY OFFICE:52,37::30,2:UFF:UFF_PUBB::ARE.:INTE
TO_CEN03:XPTE:M015:0,0000000000000000:0,0000000000000000:Sala Riunioni INTE:32,58::24,8:SUPP:S_RIUN::ARE.:INTE
TO_CEN03:XPTE:M016::::27,18::34,6:SERV:CORRID::ARE.:INTE
TO_CEN03:XPTE:N000::::253,18:585:75,6:EST:PORTICATO::ATU.:ATENEO
TO_CEN03:XPTE:N001::::67,69:370:40,5:SERV:ATRIO::ATU.:AMM
TO_CEN03:XPTE:N002:45,0626650000000000:7,6624350000000000:Portineria:22,56:390:20,4:UFF:UFF_PUBB::ATU.:AMM
TO_CEN03:XPTE:N003::::9,00:390:12,5:SERV:LOC_TECN::ATU.:AMM
TO_CEN03:XPTE:N004::::43,98:460:28,5:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XPTE:N005::::1,18::4,5:SERV:MAGAZ::ARE.:EDILOG
TO_CEN03:XPTE:N006::::21,08::21,6:SERV:ATRIO::ARE.:INTE
TO_CEN03:XPTE:N007::::24,30::27,5:SERV:ATRIO::ARE.:INTE
TO_CEN03:XPTE:N009:0,0000000000000000:0,0000000000000000::32,65::26,6:UFF:UFF_TEC_AM::ARE.:INTE
TO_CEN03:XPTE:N010:0,0000000000000000:0,0000000000000000::13,15::14,5:UFF:UFF_TEC_AM::ARE.:INTE
TO_CEN03:XPTE:N011:0,0000000000000000:0,0000000000000000::43,65::28,7:UFF:UFF_TEC_AM::ARE.:INTE
TO_CEN03:XPTE:N012::::12,27::22,6:SERV:WC::ARE.:INTE
TO_CEN03:XPTE:N013::::8,27::15,5:SERV:WC::ARE.:INTE
TO_CEN03:XPTE:O000::::45,03::57,9:SERV:CORRID::ARE.:SARTT
TO_CEN03:XPTE:O001::::35,62::27,6:VERT:SCALA::ATU.:AMM
TO_CEN03:XPTE:O002::::22,57:460:19,8:UFF:UFF_TEC_AM::ARE.:SARTT
TO_CEN03:XPTE:O003::::22,32:460:20,0:UFF:UFF_TEC_AM::ARE.:SARTT
TO_CEN03:XPTE:O004::::24,99:460:20,4:UFF:UFF_TEC_AM::ARE.:SARTT
TO_CEN03:XPTE:O005::::6,41:325:11,0:SERV:CORRID::ARE.:SARTT
TO_CEN03:XPTE:O006::::14,25:370:15,2:UFF:UFF_TEC_AM::ARE.:SARTT
TO_CEN03:XPTE:O007::::14,82:370:15,4:UFF:UFF_TEC_AM::ARE.:SARTT
TO_CEN03:XPTE:O008::::24,67:460:20,5:UFF:UFF_TEC_AM::ARE.:SARTT
TO_CEN03:XPTE:O009::::14,36:370:15,3:UFF:UFF_TEC_AM::ARE.:SARTT
TO_CEN03:XPTE:O010::::26,25:460:20,9:UFF:UFF_TEC_AM::ARE.:SARTT
TO_CEN03:XPTE:O011::::7,74:460:11,7:SERV:ARCHIVIO::ARE.:SARTT
TO_CEN03:XPTE:O012:0,0000000000000000:0,0000000000000000::23,80:460:20,1:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XPTE:O016::::3,91::7,9:SERV:WC::ARE.:SARTT
TO_CEN03:XPTE:O017:0,0000000000000000:0,0000000000000000::40,54:380:30,8:UFF:UFF_TEC_AM::ARE.:INTE
TO_CEN03:XPTE:O018::::2,04::6,2:SERV:WC::ARE.:SARTT
TO_CEN03:XPTE:O019::::1,25::4,8:SERV:WC::ARE.:SARTT
TO_CEN03:XPTE:O020::::2,40::6,6:SERV:WC::ARE.:SARTT
TO_CEN03:XPTE:O021::::15,09::15,7:SUPP:S_RIUN::ARE.:SARTT
TO_CEN03:XPTE:O022::::13,87:370:15,0:UFF:UFF_TEC_AM::ARE.:SARTT
TO_CEN03:XPTE:O023:0,0000000000000000:0,0000000000000000::22,61:460:19,7:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XPTE:P001::::8,22:300:11,7:SERV:ATRIO::ARE.:RUO
TO_CEN03:XPTE:P002::::14,64:300:15,4:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XPTE:P003::::27,48:300:21,0:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XPTE:P004::::31,33:300:23,2:UFF:UFF_TEC_AM::ATU.:ATENEO
TO_CEN03:XPTE:P005::::16,13:300:16,1:UFF:UFF_PE_EST::EES.:ALTERA POLIS
TO_CEN03:XPTE:P006::::15,20:300:17,5:SERV:ATRIO::ATU.:ATENEO
TO_CEN03:XPTE:P007:0,0000000000000000:0,0000000000000000::14,53:300:15,2:UFF:UFF_PE_EST::EES.:ASA
TO_CEN03:XPTE:P008::::9,82:300:12,8:UFF:UFF_PE_EST::EES.:ASSC
TO_CEN03:XPTE:P009::::29,52:300:22,0:SERV:ATRIO::ATU.:AMM
TO_CEN03:XPTE:P010::::25,69:300:20,3:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XPTE:P011::::13,45:300:14,7:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XPTE:P012::::37,90:300:44,5:SERV:CORRID::ATU.:ATENEO
TO_CEN03:XPTE:P013::::7,96:300:11,4:SERV:ATRIO::ATU.:ATENEO
TO_CEN03:XPTE:P014::::14,45:300:15,3:UFF:UFF_PE_EST::EES.:ASI
TO_CEN03:XPTE:P015::::24,48:300:19,9:UFF:UFF_PE_EST::ARE.:IT
TO_CEN03:XPTE:P016::::16,99:300:17,3:UFF:UFF_PE_EST:::
TO_CEN03:XPTE:P017::::21,17:300:18,4:UFF:UFF_PE_EST::EES.:BEST
TO_CEN03:XPTE:P018::::16,27:300:16,2:UFF:UFF_PE_EST::EES.:ISF
TO_CEN03:XPTE:P019::::20,79:300:22,2:SERV:ATRIO::ATU.:ATENEO
TO_CEN03:XPTE:P020::::16,35:300:16,2:UFF:UFF_PE_EST::EES.:LAVORI IN CORSO
TO_CEN03:XPTE:P021::::21,27:300:18,5:UFF:UFF_PE_EST::EES.:COLPO
TO_CEN03:XPTE:P022::::17,00:300:17,3:UFF:UFF_PE_EST::EES.:OPS TORINO
TO_CEN03:XPTE:P023::::24,48:300:19,9:UFF:UFF_PE_EST::EES.:JETOP
TO_CEN03:XPTE:P024::::14,49:300:15,4:UFF:UFF_PE_EST::EES.:ALPOT
TO_CEN03:XPTE:P025::::82,52:0:72,6:EST:SCALA_EST::ATU.:ATENEO
TO_CEN03:XPTE:P026::::6,45:0:11,6:EST:RAMPA EST::ATU.:ATENEO
TO_CEN03:XPTE:P027::::6,23:0:10,5:EST:RAMPA EST::ATU.:ATENEO
TO_CEN03:XPTE:Q001:45,0631260000000000:7,6627470000000000:Sala Studio Biblioteca:147,85:320:69,6:STUD:BIBLIO::ARE.:BIBLIOM
TO_CEN03:XPTE:Q002::::23,12:418:21,2:UFF:UFF_TEC_AM::ARE.:BIBLIOM
TO_CEN03:XPTE:Q003::::8,46:325:12,1:UFF:UFF_TEC_AM::ARE.:BIBLIOM
TO_CEN03:XPTE:Q004::::44,90:325:40,2:UFF:UFF_TEC_AM::ARE.:BIBLIOM
TO_CEN03:XPTE:Q005::::16,40:328:16,5:UFF:UFF_TEC_AM::ARE.:BIBLIOM
TO_CEN03:XPTE:Q006::::41,71:320:27,7:STUD:LOC_CONS::ARE.:BIBLIOM
TO_CEN03:XPTE:Q007::::150,20:271:101,8:SERV:ATRIO::ARE.:BIBLIOM
TO_CEN03:XPTE:Q008:45,0632320000000000:7,6623630000000000:Biblioteca Centrale di Ingegneria (BIBLIOM):281,64:320:87,6:STUD:BIBLIO::ARE.:BIBLIOM
TO_CEN03:XPTE:Q009::::26,04:214:25,3:SERV:ATRIO::ATU.:AMM
TO_CEN03:XPTE:Q010::::31,32::24,6:SERV:MAGAZ::ATU.:AMM
TO_CEN03:XPTE:Q011::::9,87::14,9:VERT:SCALA::ARE.:BIBLIOM
TO_CEN03:XPTE:Q012::::35,04:325:36,6:UFF:UFF_TEC_AM::ARE.:BIBLIOM
TO_CEN03:XPTE:Q013::::5,25::10,2:EST:SCALA_EST::ARE.:BIBLIOM
TO_CEN03:XPTE:Q014::::3,47::7,7:EST:SCALA_EST::ARE.:BIBLIOM
