rm:::::::::::::
ARCHIBUS Data Transfer:::::::::::::
:::::::::::::
AllowInsertions:AllowUpdates:AllowSQLStatements:Restriction:Sort:::::::::
1:1:1:((rm.bl_id='TO_CEN03' ) AND( rm.fl_id='XPTE'  OR  rm.fl_id='XP01')):rm.bl_id:::::::::
:::::::::::::
:::::::::::::
bl_id:fl_id:rm_id:lat:lon:name:area:altezza_locale:length:rm_cat:rm_type:rm_std:dv_id:dp_id
Fabbricato:Piano:Codice Locale:Latitudine:Longitudine:Nome locale:Area Locale:Altezza netta locale (in cm):Perimetro:Categoria  locale:Tipo di locale:Standard  locale:Tipo Struttura:Struttura
TO_CEN03:XP01:B042::::15,04::15,5:UFF:UFF_DOC::DIP.:DISAT
TO_CEN03:XP01:B043::::13,37::15,2:UFF:UFF_DOC::DIP.:DISAT
TO_CEN03:XP01:B044::::14,01::15,6:UFF:UFF_DOC::DIP.:DISAT
TO_CEN03:XP01:B105::::2,31::7,0:SERV:MAGAZ::ATU.:AMM
TO_CEN03:XP01:B146::::6,00::10,3:VERT:ASCENSORE::ATU.:AMM
TO_CEN03:XP01:G001::::60,88:363:33,6:VERT:SCALA::ATU.:ATENEO
TO_CEN03:XP01:G002::::11,71:367:14,0:SERV:ATRIO::ATU.:AMM
TO_CEN03:XP01:G003:0,0000000000000000:0,0000000000000000::28,15:369:24,3:SERV:MAGAZ::ARE.:RUO
TO_CEN03:XP01:G004::::11,12:327:14,2:SERV:WC_F::ATU.:AMM
TO_CEN03:XP01:G005::::14,58:373:15,3:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:G006::::6,29:327:12,6:SERV:WC_M::ATU.:AMM
TO_CEN03:XP01:G007::::27,70::23,7:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:G008::::19,33::18,4:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:G009::::14,04:373:15,0:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:G010::::18,95:373:19,6:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:G011::::28,44:347:23,0:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:G012::::20,70:347:18,9:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:G013::::3,49::10,2:SERV:LOC_TECN::ATU.:AMM
TO_CEN03:XP01:G014:45,0622420000000000:7,6615880000000000:Ufficio Personale Tecnico/Amministrativo, CEL, Dirigenti:19,09:373:18,2:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:G015::::71,76:356:83,3:SERV:CORRID::ATU.:AMM
TO_CEN03:XP01:G016::::26,42:456:22,1:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:G018::::25,75:456:22,0:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:G020::::26,01:456:21,8:UFF:UFF_TEC_AM::SES.:AFLEG
TO_CEN03:XP01:G021::::38,23:368:35,3:SERV:CORRID::ATU.:AMM
TO_CEN03:XP01:H000::::101,89:368:114,2:SERV:CORRID::ATU.:AMM
TO_CEN03:XP01:H001::::18,15::18,6:VERT:SCALA::ATU.:ATENEO
TO_CEN03:XP01:H002::::27,83::23,2:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:H003::::28,73:453:23,6:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:H004::::25,17:453:20,5:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:H005::::25,47:453:20,7:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:H006::::25,47:453:20,7:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:H007::::25,47:453:20,7:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:H008:45,0626680000000000:7,6619300000000000:Ufficio Personale non strutturato:25,47:451:20,7:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:H009::::25,47:451:20,7:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:H010:45,0627230000000000:7,6619630000000000:Ufficio Personale non strutturato:14,83:430:15,8:UFF:UFF_TEC_AM::SES.:AFLEG
TO_CEN03:XP01:H011::::14,70:430:15,7:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:H012::::17,48:366:18,0:SERV:ATRIO::ATU.:ATENEO
TO_CEN03:XP01:H013::::25,10:366:20,1:SERV:ARCHIVIO::ATU.:AMM
TO_CEN03:XP01:H014::::14,52:366:16,0:SERV:ATRIO::ATU.:AMM
TO_CEN03:XP01:H015::::7,08::11,3:SERV:CEN_CLIMA::ATU.:AMM
TO_CEN03:XP01:H016::::7,57::11,8:SERV:CEN_CLIMA::ATU.:AMM
TO_CEN03:XP01:H017::::14,70:449:15,7:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:H018::::14,70:430:15,7:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:H019::::14,70:431:15,7:UFF:UFF_TEC_AM::ARE.:RUO
TO_CEN03:XP01:H020::::14,70:452:15,7:UFF:UFF_TEC_AM::ARE.:RUO
